Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2020,AK,Total Electric Industry,22.57,19.58,15.88,0.00,NA,19.82
2020,AL,Total Electric Industry,12.58,11.55,5.87,0.00,NA,9.84
2020,AR,Total Electric Industry,10.41,8.61,5.89,13.32,NA,8.32
2020,AZ,Total Electric Industry,12.27,10.11,6.07,9.38,NA,10.44
2020,CA,Total Electric Industry,20.45,17.53,14.27,10.07,NA,18.00
2020,CO,Total Electric Industry,12.36,10.29,7.48,8.64,NA,10.27
2020,CT,Total Electric Industry,22.71,16.58,13.07,13.34,NA,19.13
2020,DC,Total Electric Industry,12.63,11.85,7.99,9.60,NA,11.90
2020,DE,Total Electric Industry,12.56,9.18,6.70,0.00,NA,10.24
2020,FL,Total Electric Industry,11.27,8.85,7.15,7.69,NA,10.06
2020,GA,Total Electric Industry,12.02,10.08,5.77,5.39,NA,9.93
2020,HI,Total Electric Industry,30.28,28.41,24.45,0.00,NA,27.55
2020,IA,Total Electric Industry,12.46,9.96,6.43,0.00,NA,8.97
2020,ID,Total Electric Industry,9.95,7.75,6.23,0.00,NA,7.99
2020,IL,Total Electric Industry,13.04,9.15,6.70,6.56,NA,9.75
2020,IN,Total Electric Industry,12.83,11.21,6.98,10.21,NA,9.92
2020,KS,Total Electric Industry,12.85,10.40,7.30,0.00,NA,10.38
2020,KY,Total Electric Industry,10.87,10.34,5.31,0.00,NA,8.58
2020,LA,Total Electric Industry,9.67,8.85,4.88,8.77,NA,7.51
2020,MA,Total Electric Industry,21.97,16.03,14.51,6.24,NA,18.19
2020,MD,Total Electric Industry,13.01,9.72,7.81,7.79,NA,11.15
2020,ME,Total Electric Industry,16.81,12.56,8.86,0.00,NA,13.54
2020,MI,Total Electric Industry,16.26,11.71,7.24,11.39,NA,12.21
2020,MN,Total Electric Industry,13.17,10.43,7.67,9.40,NA,10.57
2020,MO,Total Electric Industry,11.22,8.93,6.84,7.84,NA,9.64
2020,MS,Total Electric Industry,11.17,10.38,5.63,0.00,NA,9.13
2020,MT,Total Electric Industry,11.24,10.51,5.18,0.00,NA,9.13
2020,NC,Total Electric Industry,11.38,8.69,6.31,7.67,NA,9.43
2020,ND,Total Electric Industry,10.44,9.02,7.26,0.00,NA,8.53
2020,NE,Total Electric Industry,10.80,8.89,7.38,0.00,NA,8.97
2020,NH,Total Electric Industry,19.04,15.41,13.11,0.00,NA,16.63
2020,NJ,Total Electric Industry,16.03,12.35,10.01,9.19,NA,13.63
2020,NM,Total Electric Industry,12.94,10.28,5.58,0.00,NA,9.33
2020,NV,Total Electric Industry,11.34,7.45,5.61,8.84,NA,8.33
2020,NY,Total Electric Industry,18.36,14.56,5.54,12.14,NA,14.87
2020,OH,Total Electric Industry,12.29,9.53,6.16,6.71,NA,9.44
2020,OK,Total Electric Industry,10.12,7.82,4.61,0.00,NA,7.63
2020,OR,Total Electric Industry,11.17,9.00,5.70,9.46,NA,8.82
2020,PA,Total Electric Industry,13.58,8.50,6.16,8.58,NA,9.70
2020,RI,Total Electric Industry,22.01,15.94,15.76,22.23,NA,18.54
2020,SC,Total Electric Industry,12.78,10.35,5.98,0.00,NA,9.90
2020,SD,Total Electric Industry,11.75,9.65,7.79,0.00,NA,10.06
2020,TN,Total Electric Industry,10.76,10.56,5.33,0.00,NA,9.52
2020,TX,Total Electric Industry,11.71,7.60,5.07,6.52,NA,8.36
2020,UT,Total Electric Industry,10.44,8.27,5.90,10.69,NA,8.27
2020,VA,Total Electric Industry,12.03,7.63,6.28,8.77,NA,9.16
2020,VT,Total Electric Industry,19.54,16.39,11.20,0.00,NA,16.33
2020,WA,Total Electric Industry,9.87,8.92,5.08,9.93,NA,8.33
2020,WI,Total Electric Industry,14.32,10.75,7.29,14.64,NA,10.82
2020,WV,Total Electric Industry,11.80,9.40,6.09,0.00,NA,8.75
2020,WY,Total Electric Industry,11.11,9.65,6.88,0.00,NA,8.27
2020,US,Total Electric Industry,13.15,10.59,6.67,9.90,NA,10.59
2020,AK,Full-Service Providers,22.57,19.58,15.88,0.00,NA,19.82
2020,AL,Full-Service Providers,12.57,11.55,5.87,0.00,NA,9.84
2020,AR,Full-Service Providers,10.41,8.61,5.89,13.32,NA,8.32
2020,AZ,Full-Service Providers,12.27,10.11,6.07,9.38,NA,10.44
2020,CA,Full-Service Providers,19.84,17.36,14.80,14.43,NA,17.86
