Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2020,AK,Total Electric Industry,315208.00,61993.00,1129.00,0.00,NA,378330.00
2020,AL,Total Electric Industry,2280741.00,371888.00,7240.00,0.00,NA,2659869.00
2020,AR,Total Electric Industry,1413490.00,197869.00,35978.00,2.00,NA,1647339.00
2020,AZ,Total Electric Industry,2896339.00,331229.00,7595.00,2.00,NA,3235165.00
2020,CA,Total Electric Industry,13834719.00,1725533.00,148130.00,13.00,NA,15708395.00
2020,CO,Total Electric Industry,2400357.00,384518.00,15209.00,1.00,NA,2800085.00
2020,CT,Total Electric Industry,1521112.00,154894.00,4130.00,3.00,NA,1680139.00
2020,DC,Total Electric Industry,290466.00,26672.00,1.00,3.00,NA,317142.00
2020,DE,Total Electric Industry,446276.00,56764.00,878.00,0.00,NA,503918.00
2020,FL,Total Electric Industry,9731237.00,1256569.00,22587.00,2.00,NA,11010395.00
2020,GA,Total Electric Industry,4487431.00,592220.00,23822.00,1.00,NA,5103474.00
2020,HI,Total Electric Industry,442002.00,59734.00,816.00,0.00,NA,502552.00
2020,IA,Total Electric Industry,1403386.00,243762.00,9507.00,0.00,NA,1656655.00
2020,ID,Total Electric Industry,782559.00,114707.00,28759.00,0.00,NA,926025.00
2020,IL,Total Electric Industry,5339610.00,628868.00,5561.00,3.00,NA,5974042.00
2020,IN,Total Electric Industry,2920266.00,363465.00,19383.00,1.00,NA,3303115.00
2020,KS,Total Electric Industry,1282532.00,236430.00,23979.00,0.00,NA,1542941.00
2020,KY,Total Electric Industry,2013910.00,312014.00,5982.00,0.00,NA,2331906.00
2020,LA,Total Electric Industry,2112928.00,296222.00,19276.00,1.00,NA,2428427.00
2020,MA,Total Electric Industry,2817549.00,411448.00,10877.00,2.00,NA,3239876.00
2020,MD,Total Electric Industry,2376983.00,256738.00,8966.00,5.00,NA,2642692.00
2020,ME,Total Electric Industry,717559.00,97575.00,2681.00,0.00,NA,817815.00
2020,MI,Total Electric Industry,4423595.00,546115.00,5580.00,2.00,NA,4975292.00
2020,MN,Total Electric Industry,2464753.00,303702.00,9042.00,1.00,NA,2777498.00
2020,MO,Total Electric Industry,2833918.00,387872.00,10108.00,2.00,NA,3231900.00
2020,MS,Total Electric Industry,1308149.00,237370.00,10343.00,0.00,NA,1555862.00
2020,MT,Total Electric Industry,522382.00,110977.00,11414.00,0.00,NA,644773.00
2020,NC,Total Electric Industry,4695096.00,710220.00,9822.00,1.00,NA,5415139.00
2020,ND,Total Electric Industry,387506.00,76834.00,8933.00,0.00,NA,473273.00
2020,NE,Total Electric Industry,864842.00,155282.00,62716.00,0.00,NA,1082840.00
2020,NH,Total Electric Industry,633234.00,109068.00,3180.00,0.00,NA,745482.00
2020,NJ,Total Electric Industry,3618587.00,526725.00,11629.00,6.00,NA,4156947.00
2020,NM,Total Electric Industry,905885.00,145459.00,9436.00,0.00,NA,1060780.00
2020,NV,Total Electric Industry,1226566.00,169743.00,3316.00,1.00,NA,1399626.00
2020,NY,Total Electric Industry,7239162.00,1143347.00,7535.00,8.00,NA,8390052.00
