Year,State,Producer Type,Energy Source,"CO2
(Metric Tons)","SO2
(Metric Tons)","NOx
(Metric Tons)"
1990,AK,Commercial Cogen,All Sources,824004,13198,3011
1990,AK,Commercial Cogen,Coal,821929,13191,3009
1990,AK,Commercial Cogen,Petroleum,2075,6,2
1990,AK,Commercial Non-Cogen,All Sources,0,149,42
1990,AK,Commercial Non-Cogen,Petroleum,0,149,42
1990,AK,Electric Utility,All Sources,2814130,2403,7837
1990,AK,Electric Utility,Coal,646430,832,2881
1990,AK,Electric Utility,Natural Gas,1886585,9,4364
1990,AK,Electric Utility,Petroleum,281115,1562,592
1990,AK,Industrial Cogen,All Sources,176547,2968,791
1990,AK,Industrial Cogen,Natural Gas,127455,1,308
1990,AK,Industrial Cogen,Other,0,983,220
1990,AK,Industrial Cogen,Petroleum,49092,1984,263
1990,AK,Industrial Non-Cogen,All Sources,394128,23,881
1990,AK,Industrial Non-Cogen,Natural Gas,388618,1,866
1990,AK,Industrial Non-Cogen,Other,0,1,9
1990,AK,Industrial Non-Cogen,Petroleum,5510,21,5
1990,AK,Total Electric Power Industry,All Sources,4208809,18741,12562
1990,AK,Total Electric Power Industry,Coal,1468359,14023,5890
1990,AK,Total Electric Power Industry,Natural Gas,2402658,11,5538
1990,AK,Total Electric Power Industry,Other,0,984,229
1990,AK,Total Electric Power Industry,Petroleum,337792,3723,904
1990,AL,Electric Utility,All Sources,50160812,467522,204197
1990,AL,Electric Utility,Coal,49880908,467393,203687
1990,AL,Electric Utility,Natural Gas,223787,1,448
1990,AL,Electric Utility,Petroleum,56117,129,63
1990,AL,Industrial Cogen,All Sources,2517869,32103,11625
1990,AL,Industrial Cogen,Coal,1527201,16568,5979
1990,AL,Industrial Cogen,Natural Gas,802719,4,1566
1990,AL,Industrial Cogen,Other,15962,14191,3882
1990,AL,Industrial Cogen,Petroleum,171987,1340,198
1990,AL,Industrial Non-Cogen,All Sources,9177,0,16
1990,AL,Industrial Non-Cogen,Natural Gas,9177,0,16
1990,AL,IPP NAICS-22 Cogen,All Sources,248205,5904,2581
1990,AL,IPP NAICS-22 Cogen,Coal,171365,1267,734
1990,AL,IPP NAICS-22 Cogen,Natural Gas,76840,0,179
1990,AL,IPP NAICS-22 Cogen,Other,0,4637,1669
1990,AL,IPP NAICS-22 Non-Cogen,Other,0,0,0
1990,AL,Total Electric Power Industry,All Sources,52936063,505530,218419
1990,AL,Total Electric Power Industry,Coal,51579474,485229,210395
1990,AL,Total Electric Power Industry,Natural Gas,1112523,5,2209
1990,AL,Total Electric Power Industry,Other,15962,18828,5555
1990,AL,Total Electric Power Industry,Petroleum,228104,1469,260
1990,AR,Commercial Cogen,All Sources,23987,2,138
1990,AR,Commercial Cogen,Natural Gas,21142,0,92
1990,AR,Commercial Cogen,Other,0,0,43
1990,AR,Commercial Cogen,Petroleum,2845,2,3
1990,AR,Electric Utility,All Sources,21900923,62774,101992
1990,AR,Electric Utility,Coal,20100009,62609,97849
1990,AR,Electric Utility,Natural Gas,1734286,8,4072
