year,state,state_po,candidate,party_simplified,writein,candidate_votes,total_votes
2000,ALABAMA,AL,"BUSH, GEORGE W.",REPUBLICAN,FALSE,941173,1666272
2000,ALABAMA,AL,"GORE, AL",DEMOCRAT,FALSE,692611,1666272
2000,ALABAMA,AL,,OTHER,FALSE,25896,1666272
2000,ALABAMA,AL,"BROWNE, HARRY",LIBERTARIAN,FALSE,5893,1666272
2000,ALABAMA,AL,,OTHER,TRUE,699,1666272
2000,ALASKA,AK,"BUSH, GEORGE W.",REPUBLICAN,FALSE,167398,285560
2000,ALASKA,AK,"GORE, AL",DEMOCRAT,FALSE,79004,285560
2000,ALASKA,AK,"NADER, RALPH",OTHER,FALSE,28747,285560
2000,ALASKA,AK,"BUCHANAN, PATRICK """"PAT""""",OTHER,FALSE,5192,285560
2000,ALASKA,AK,"BROWNE, HARRY",LIBERTARIAN,FALSE,2636,285560
2000,ALASKA,AK,,OTHER,TRUE,1068,285560
2000,ALASKA,AK,"HAGELIN, JOHN",OTHER,FALSE,919,285560
2000,ALASKA,AK,"PHILLIPS, HOWARD",OTHER,FALSE,596,285560
2000,ARIZONA,AZ,"BUSH, GEORGE W.",REPUBLICAN,FALSE,781652,1532016
2000,ARIZONA,AZ,"GORE, AL",DEMOCRAT,FALSE,685341,1532016
2000,ARIZONA,AZ,"NADER, RALPH",OTHER,FALSE,45645,1532016
2000,ARIZONA,AZ,"BUCHANAN, PATRICK """"PAT""""",OTHER,FALSE,12373,1532016
2000,ARIZONA,AZ,"L. NEIL, SMITH",LIBERTARIAN,FALSE,5775,1532016
2000,ARIZONA,AZ,"HAGELIN, JOHN",OTHER,FALSE,1120,1532016
2000,ARIZONA,AZ,,OTHER,TRUE,110,1532016
2000,ARKANSAS,AR,"BUSH, GEORGE W.",REPUBLICAN,FALSE,472940,921781
2000,ARKANSAS,AR,"GORE, AL",DEMOCRAT,FALSE,422768,921781
2000,ARKANSAS,AR,"NADER, RALPH",OTHER,FALSE,13421,921781
2000,ARKANSAS,AR,"BUCHANAN, PATRICK """"PAT""""",OTHER,FALSE,7358,921781
2000,ARKANSAS,AR,"BROWNE, HARRY",LIBERTARIAN,FALSE,2781,921781
2000,ARKANSAS,AR,"PHILLIPS, HOWARD",OTHER,FALSE,1415,921781
2000,ARKANSAS,AR,"HAGELIN, JOHN",OTHER,FALSE,1098,921781
2000,CALIFORNIA,CA,"GORE, AL",DEMOCRAT,FALSE,5861203,10965822
2000,CALIFORNIA,CA,"BUSH, GEORGE W.",REPUBLICAN,FALSE,4567429,10965822
2000,CALIFORNIA,CA,"NADER, RALPH",OTHER,FALSE,418707,10965822
2000,CALIFORNIA,CA,"BROWNE, HARRY",LIBERTARIAN,FALSE,45520,10965822
2000,CALIFORNIA,CA,"BUCHANAN, PATRICK """"PAT""""",OTHER,FALSE,44987,10965822
2000,CALIFORNIA,CA,"PHILLIPS, HOWARD",OTHER,FALSE,17042,10965822
2000,CALIFORNIA,CA,"HAGELIN, JOHN",OTHER,FALSE,10934,10965822
2000,COLORADO,CO,"BUSH, GEORGE W.",REPUBLICAN,FALSE,883748,1741368
2000,COLORADO,CO,"GORE, AL",DEMOCRAT,FALSE,738227,1741368
2000,COLORADO,CO,"NADER, RALPH",OTHER,FALSE,91434,1741368
2000,COLORADO,CO,"BROWNE, HARRY",LIBERTARIAN,FALSE,12799,1741368
2000,COLORADO,CO,"HAGELIN, JOHN",OTHER,FALSE,10465,1741368
2000,COLORADO,CO,"HAGELIN, JOHN",OTHER,FALSE,2240,1741368
2000,COLORADO,CO,"PHILLIPS, HOWARD",OTHER,FALSE,1319,1741368
2000,COLORADO,CO,"MCREYNOLDS, DAVID",OTHER,FALSE,712,1741368
2000,COLORADO,CO,"HARRIS, JAMES",OTHER,FALSE,216,1741368
2000,COLORADO,CO,"DODGE, EARL",OTHER,FALSE,208,1741368
2000,CONNECTICUT,CT,"GORE, AL",DEMOCRAT,FALSE,816015,1459525
2000,CONNECTICUT,CT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,561094,1459525
2000,CONNECTICUT,CT,"NADER, RALPH",OTHER,FALSE,64452,1459525
2000,CONNECTICUT,CT,"PHILLIPS, HOWARD",OTHER,FALSE,9695,1459525
2000,CONNECTICUT,CT,"BUCHANAN, PATRICK """"PAT""""",OTHER,FALSE,4731,1459525
2000,CONNECTICUT,CT,"BROWNE, HARRY",LIBERTARIAN,FALSE,3484,1459525
2000,CONNECTICUT,CT,,OTHER,TRUE,54,1459525
2000,DELAWARE,DE,"GORE, AL",DEMOCRAT,FALSE,180068,327529
2000,DELAWARE,DE,"BUSH, GEORGE W.",REPUBLICAN,FALSE,137288,327529
2000,DELAWARE,DE,"NADER, RALPH",OTHER,FALSE,8307,327529
2000,DELAWARE,DE,"BUCHANAN, PATRICK """"PAT""""",OTHER,FALSE,777,327529
2000,DELAWARE,DE,"BROWNE, HARRY",LIBERTARIAN,FALSE,774,327529
2000,DELAWARE,DE,"PHILLIPS, HOWARD",OTHER,FALSE,208,327529
2000,DELAWARE,DE,"HAGELIN, JOHN",OTHER,FALSE,107,327529
2000,DISTRICT OF COLUMBIA,DC,"GORE, AL",DEMOCRAT,FALSE,171923,201894
2000,DISTRICT OF COLUMBIA,DC,"BUSH, GEORGE W.",REPUBLICAN,FALSE,18073,201894
2000,DISTRICT OF COLUMBIA,DC,"NADER, RALPH",OTHER,FALSE,10576,201894
2000,DISTRICT OF COLUMBIA,DC,"BROWNE, HARRY",LIBERTARIAN,FALSE,669,201894
2000,DISTRICT OF COLUMBIA,DC,,OTHER,TRUE,539,201894
2000,DISTRICT OF COLUMBIA,DC,"HARRIS, JAMES",OTHER,FALSE,114,201894
2000,FLORIDA,FL,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2912790,5963110
2000,FLORIDA,FL,"GORE, AL",DEMOCRAT,FALSE,2912253,5963110
2000,FLORIDA,FL,"NADER, RALPH",OTHER,FALSE,97488,5963110
2000,FLORIDA,FL,"BUCHANAN, PATRICK """"PAT""""",OTHER,FALSE,17484,5963110
2000,FLORIDA,FL,"BROWNE, HARRY",LIBERTARIAN,FALSE,16415,5963110
2000,FLORIDA,FL,"HAGELIN, JOHN",OTHER,FALSE,2281,5963110
2000,FLORIDA,FL,"MOOREHEAD, MONICA",OTHER,FALSE,1804,5963110
2000,FLORIDA,FL,"PHILLIPS, HOWARD",OTHER,FALSE,1371,5963110
