Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2020,AK,Total Electric Industry,471526.00,494103.00,207206.00,0.00,NA,1172835.00
2020,AL,Total Electric Industry,3939867.00,2460395.00,1806524.00,0.00,NA,8206786.00
2020,AR,Total Electric Industry,1871422.00,956720.00,987435.00,27.00,NA,3815604.00
2020,AZ,Total Electric Industry,4751047.00,2944348.00,856644.00,1064.00,NA,8553103.00
2020,CA,Total Electric Industry,19413314.00,18757401.00,6797215.00,60682.00,NA,45028612.00
2020,CO,Total Electric Industry,2531337.00,2062508.00,1154897.00,8126.00,NA,5756868.00
2020,CT,Total Electric Industry,2948780.00,1848336.00,373836.00,16768.00,NA,5187720.00
2020,DC,Total Electric Industry,309841.00,807759.00,14881.00,31906.00,NA,1164386.00
2020,DE,Total Electric Industry,627031.00,374876.00,137784.00,0.00,NA,1139691.00
2020,FL,Total Electric Industry,15021436.00,8181315.00,1185729.00,5739.00,NA,24394219.00
2020,GA,Total Electric Industry,6995859.00,4466257.00,1777389.00,7584.00,NA,13247089.00
2020,HI,Total Electric Industry,862771.00,762527.00,797940.00,0.00,NA,2423238.00
2020,IA,Total Electric Industry,1815028.00,1155688.00,1572418.00,0.00,NA,4543133.00
2020,ID,Total Electric Industry,892473.00,488956.00,571938.00,0.00,NA,1953366.00
2020,IL,Total Electric Industry,6021966.00,4160567.00,2703056.00,29507.00,NA,12915096.00
2020,IN,Total Electric Industry,4217038.00,2465067.00,2949718.00,1839.00,NA,9633661.00
2020,KS,Total Electric Industry,1747076.00,1544299.00,806298.00,0.00,NA,4097673.00
2020,KY,Total Electric Industry,2818425.00,1867406.00,1477126.00,0.00,NA,6162957.00
2020,LA,Total Electric Industry,2942989.00,1982599.00,1770445.00,948.00,NA,6696981.00
2020,MA,Total Electric Industry,4468961.00,3706930.00,902346.00,20159.00,NA,9098394.00
2020,MD,Total Electric Industry,3551281.00,2572151.00,264111.00,38082.00,NA,6425625.00
2020,ME,Total Electric Industry,824665.00,479414.00,232770.00,0.00,NA,1536849.00
2020,MI,Total Electric Industry,5831461.00,4156478.00,1858134.00,469.00,NA,11846542.00
2020,MN,Total Electric Industry,3020236.00,2244659.00,1501592.00,1919.00,NA,6768406.00
2020,MO,Total Electric Industry,3922562.00,2495141.00,877402.00,1603.00,NA,7296708.00
2020,MS,Total Electric Industry,2010535.00,1368949.00,862202.00,0.00,NA,4241686.00
2020,MT,Total Electric Industry,604844.00,494421.00,232985.00,0.00,NA,1332250.00
2020,NC,Total Electric Industry,6672919.00,3989150.00,1630155.00,1236.00,NA,12293460.00
2020,ND,Total Electric Industry,526673.00,598966.00,735791.00,0.00,NA,1861430.00
2020,NE,Total Electric Industry,1135271.00,807988.00,853740.00,0.00,NA,2796999.00
2020,NH,Total Electric Industry,911967.00,621042.00,245652.00,0.00,NA,1778660.00
2020,NJ,Total Electric Industry,4756754.00,4360716.00,674041.00,24836.00,NA,9816347.00
2020,NM,Total Electric Industry,942023.00,863824.00,507044.00,0.00,NA,2312891.00
2020,NV,Total Electric Industry,1624395.00,892503.00,669293.00,350.00,NA,3186540.00
2020,NY,Total Electric Industry,9596805.00,10044876.00,920958.00,309509.00,NA,20872148.00
2020,OH,Total Electric Industry,6457167.00,4116142.00,2884078.00,2342.00,NA,13459729.00
2020,OK,Total Electric Industry,2350122.00,1463053.00,938950.00,0.00,NA,4752124.00
2020,OR,Total Electric Industry,2191867.00,1417933.00,889561.00,2423.00,NA,4501783.00
2020,PA,Total Electric Industry,7511991.00,3006398.00,2994347.00,36505.00,NA,13549241.00
2020,RI,Total Electric Industry,692840.00,566168.00,100013.00,3905.00,NA,1362926.00
2020,SC,Total Electric Industry,3940889.00,2156567.00,1499264.00,0.00,NA,7596720.00
2020,SD,Total Electric Industry,595509.00,453276.00,228209.00,0.00,NA,1276994.00
2020,TN,Total Electric Industry,4420255.00,3535442.00,1089955.00,0.00,NA,9045652.00
2020,TX,Total Electric Industry,18322011.00,11030926.00,6341506.00,11314.00,NA,35705757.00
2020,UT,Total Electric Industry,1100682.00,942516.00,570991.00,5263.00,NA,2619452.00
2020,VA,Total Electric Industry,5542948.00,4085686.00,1096748.00,14431.00,NA,10739813.00
2020,VT,Total Electric Industry,421376.00,295914.00,153298.00,0.00,NA,870587.00
2020,WA,Total Electric Industry,3639303.00,2436452.00,1140241.00,9708.00,NA,7225703.00
2020,WI,Total Electric Industry,3271758.00,2412932.00,1615656.00,141.00,NA,7300487.00
2020,WV,Total Electric Industry,1283976.00,654036.00,867943.00,0.00,NA,2805954.00
2020,WY,Total Electric Industry,319940.00,320504.00,628104.00,0.00,NA,1268548.00
2020,US,Total Electric Industry,192663208.00,136372272.00,63955556.00,648385.00,NA,393639421.00
